Output File                                                Name                          Type       FSH File                          Lines
StructureDefinition-AllergyIntolerancePSAB.json            AllergyIntolerancePSAB        Profile    AllergyIntolerancePSAB.fsh        3 - 26
StructureDefinition-BundlePSAB.json                        BundlePSAB                    Profile    BundlePSAB.fsh                    3 - 22
StructureDefinition-CompositionPSAB.json                   CompositionPSAB               Profile    CompositionPSAB.fsh               6 - 92
StructureDefinition-ConditionPSAB.json                     ConditionPSAB                 Profile    ConditionPSAB.fsh                 4 - 36
StructureDefinition-FamilyMemberHistoryPSAB.json           FamilyMemberHistoryPSAB       Profile    FamilyMemberHistoryPSAB.fsh       3 - 32
StructureDefinition-HealthcareServicePSAB.json             HealthcareServicePSAB         Profile    HealthcareServicePSAB.fsh         2 - 15
StructureDefinition-LocationPSAB.json                      LocationPSAB                  Profile    LocationPSAB.fsh                  5 - 45
StructureDefinition-MedicationPSAB.json                    MedicationPSAB                Profile    MedicationPSAB.fsh                3 - 22
StructureDefinition-MedicationStatementPSAB.json           MedicationStatementPSAB       Profile    MedicationStatementPSAB.fsh       4 - 40
StructureDefinition-ObservationBMIPSAB.json                ObservationBMIPSAB            Profile    ObservationBMIPSAB.fsh            3 - 45
StructureDefinition-ObservationBodyHeightPSAB.json         ObservationBodyHeightPSAB     Profile    ObservationBodyHeightPSAB.fsh     3 - 44
StructureDefinition-ObservationBodyWeightPSAB.json         ObservationBodyWeightPSAB     Profile    ObservationBodyWeightPSAB.fsh     3 - 44
StructureDefinition-ObservationHeadCircumPSAB.json         ObservationHeadCircumPSAB     Profile    ObservationHeadCircumPSAB.fsh     4 - 45
StructureDefinition-ObservationSocialHistoryPSAB.json      ObservationSocialHistoryPSAB  Profile    ObservationSocialHistoryPSAB.fsh  4 - 37
StructureDefinition-PatientPSAB.json                       PatientPSAB                   Profile    PatientPSAB.fsh                   7 - 55
StructureDefinition-PractitionerPSAB.json                  PractitionerPSAB              Profile    PractitionerPSAB.fsh              4 - 34
StructureDefinition-PractitionerRolePSAB.json              PractitionerRolePSAB          Profile    PractitionerRolePSAB.fsh          4 - 25
StructureDefinition-individual-recordedSexOrGenderAB.json  RecordedSexOrGenderAB         Extension  RecordedSexOrGenderPSAB.fsh       6 - 82
